name,rating,review,review_mark
Объект 784,4.9,"Обед на одного человека дороговато 700 руб ,рис ужасный, мясо боле менее,в аля солянке одни сосиски плавают невкусные,не стоит своих денег совсем,очень не понравилось.",2
Объект 784,4.9,"Есть всё, даже местный чак чак, порции большие, очень много в зале микроволновок",5
Объект 784,4.9,Кафешка класс. Цены приятно удивили.,5
Объект 784,4.9,Очень здорово и дорого!,5
Объект 784,4.9,"Чистая стоянка. Бесплатный туалет. Душ дорогой, внутри общая раздевалка и душевые кабинки.",5
Объект 784,4.9,"Вкусно, быстро, даже банкомат есть",5
Объект 784,4.9,Совершенно случайно заехали сюда. Отель очень понравился. Чистота идеальная. Заселили быстро. Утром в кафе был отличный завтрак. Нам очень понравилось все. Всем искренне рекомендую. Владельцам отеля и персоналу отдельное спасибо!!!,5
Объект 784,4.9,"Еда особо удовольствия не вызывает и цены завышены. Но если кушать негде, то место выручит.",3
Объект 784,4.9,Прекрасная кухня вкусно средний ценик,4
Объект 784,4.9,"Цены как в центре Москвы, а не на стоянке.",1
Объект 784,4.9,"Дороговато, гостиница так себе.. Какие то железные лестницы повсюду ( уюта нет). Еда в столовой на 3ку, суп прокисший был",2
Объект 784,4.9,"Хорошая стоянка,есть все",5
Объект 784,4.9,"Вкусная еда. Персонал очень вежливый и довольно профессиональный. Был проездом в Казани, благодаря этому месту хоть какой то позитив смог попасть в мои воспоминания",5
Объект 784,4.9,"Да норм и кафе , и чистый душ ! В кафе замечательные девушки работают !",5
Объект 784,4.9,"Ужасный отель, я бы назвал койка место , действительно был шок , что пришлось спать на раскладушке , полотенце для ног приносят только один комплект на всех троих гостей , душевая кабинка без двери , все брызгает . Просят экономить воду , горячей воды после 23 чечера нет, мылись под холодной. Столовая абсолютно средняя , если не ниже , а цены конские . Ресепшен бабки , которым абсолютно наплевать . стирка вещей отдельная опция , предоставляют услугу , но говорят , что за вещи не отвечаем , ходят цыгане , хорошие вещи лучше не давайте .",1
Объект 784,4.9,Отлично норм,5
Объект 784,4.9,Вкусно чисто доступно!!!,5
Объект 784,4.9,"Переночевать можно, но на повышенную оценку не тянет.",3
Объект 784,4.9,"Прекрасный отель и не плохая столовая. Интерьер на высоте, шумоизоляция тоже в порядке. Дороговато правда, особенно для отеля на трассе.",5
Объект 784,4.9,"Чисто, комфортно, хорошая столовая!",5
Объект 784,4.9,"Очень вкусно, чисто, вежливый персонал",5
Объект 784,4.9,Хорошая кухня,5
Объект 784,4.9,"Очень вкусная еда, чистота и красота вокруг, приветливый персонал. Спасибо большое!",5
Объект 784,4.9,"Все супер, второй раз уже и выбираем другой, если только нет мест здесь. Вкусная еда в кафе внизу",5
Объект 784,4.9,Топ,5
Объект 784,4.9,Очень классное место!! Вкусно и не дорого!!,5
Объект 784,4.9,Дороговато но переночевать можно. Маленький и уютный номер. Чистый. На первом этаже столовая. Всё что нужно. Рекомендации от меня...,5
Объект 784,4.9,"Гостиница классная, в столовой очень вкусно кормят. Рекомендую.",5
Объект 784,4.9,Отличная стоянка для грузовиков.,5
Объект 784,4.9,Нормально кормят!,5
Объект 784,4.9,Отличная асфальтированная стоянка + хорошее кафе 👌,5
Объект 784,4.9,"Все отлично, кафе супер!! Кормят вообще оч вкусно",5
Объект 784,4.9,хорошее место кинуть кости на одну ночь),5
Объект 784,4.9,"Все понравилось, есть бильярд, приставка ps3, телевизоры на каждом этаже, в номерах убираются каждый день, недорогое кафе на первом этаже, работает до 1 часа ночи, банкомат сбер",5
Объект 784,4.9,"Местечко супер, все частенько, кафешке у них, очень вкусно❤убирались у нас в номере каждый день, приятно, советую на 100%",5
Объект 784,4.9,"хорошее место для отдыха, в кафе еда свежая и вкусная",5
Объект 784,4.9,Еда вкусная чистота порядок стоянка дорогая душ дорогой номера дорогие,5
Объект 784,4.9,Все очень даже неплохо,5
Объект 784,4.9,Один из лучших мотелей что я видела.,5
Объект 784,4.9,Средняя стоянка,4
Объект 784,4.9,"Кухня хорошая, обед обошёлся около 500р достойный, душ 250р -30 мин, парковочных мест хватает, за ночь отдал 200 р. За газель, также есть места в отеле, в целом Всё порадовало",5
Объект 784,4.9,"Отличное место. Наилучшее сочетание цены и качества. Чистые, уютные, современные номера. Удобное расположение как для тех кто проездом, так и для посещения Казани (до центра около 30 мин на машине).",5
Объект 784,4.9,"Хорошее кафе, есть из чего выбрать, вкусно, не дорого.",5
Объект 784,4.9,"Топовое кафе.. Вкусно, не совсем быстро! Всем рекомендую.. Стоянка 250 р.. охрана! Асфальт..",5
Объект 784,4.9,Очень дорого по сравнению со другими кафе постоянно нет место даже для легковой машины очень наглые.,2
Объект 784,4.9,"Заезжали кушать тургруппой. Завтрак и обед сытный, достойный.",4
Объект 784,4.9,"Вкусно, недорого, всё свежее, меню разнообразное, порции огромные. Выпечка тоже очень вкусная, брали с собой в дорогу. Заезжали только в кафе, поэтому оценка именно за него. Интерьер тоже крутой.",5
Объект 784,4.9,"Очень дорого, ночь переночевать больше 5000₽. Отказали в заселение вместе с детьми, предложили их положить в отдельном номере!",2
Объект 784,4.9,"Удобное расположение, можно выехать хоть в сторону Москвы, хоть Уфы или в центр Казани.",5
Объект 784,4.9,"Люблю это место! Можно больше ничего писать не буду? ) Вкусно, уютно, доступно, удобно! За номер по моему чуток дороговато просят, но право продавца!",5
Объект 784,4.9,"Очень грамотная стоянка (асфальт, чистота). Отличное кафе. Что еще тут скажешь.",5
Объект 784,4.9,"Чистота класс, но в столовой дорого",2
Объект 784,4.9,Для придорожного мотеля хороший номер,5
Объект 784,4.9,Дорого все.Но в общем очень прилично,5
Объект 784,4.9,Вкусно,5
Объект 784,4.9,"Еда вкусная, разнообразная и не дорогая, но почему то холодная, пришлось греть в микроволновке.",5
Объект 784,4.9,"Был года два назад, кормили дорого и не вкусно. После этого не заезжаю.",3
Объект 784,4.9,Стоянка норм! Еда на 3,3
Объект 784,4.9,"Готовят не вкусно, три раза заезжал и все три раза не вкусно",2
Объект 784,4.9,"Хорошее место для отдыха после долгой дороги, рекомендую",5
Объект 784,4.9,Теперь постоянно забито,4
Объект 784,4.9,"Приехала, а номер не готов, пришлось около часа уставшей ниспавший сидеть и ждать пока мне подготовят номер…",1
Объект 784,4.9,Чистая преличная столовая с адекватными ценами. Всё вкусно. Персонал адекватный. Есть душ туалет. Стоянка для легковых авто 150 рублей за ночь. Гостиница дороговата для транзит ников.,5
Объект 784,4.9,"Кафе хорошее но есть одно но . При съезде с трассы большой перепад , берегите крылья на ведущем мосту, ломает.",4
Объект 784,4.9,"Вообще пушка)))), много блюд, цена порадует. И очень вкусно. Пишу отзыв и кушать захотел. Выезжаю... А вы не приезжайте мимо.)",5
Объект 784,4.9,Всё понравилось. И дёшево. Рекомендую,5
Объект 784,4.9,"Не плохое место, еда вполне вкусная.",4
Объект 784,4.9,"Платный паркинг круглосуточно, дорогой, есть столовая, гостиница",4
Объект 784,4.9,Супер главное асфальтированная стоянка,5
Объект 784,4.9,Классный отель. 👍 Номера чистые и уютные!!! Кровати мягкие как дома!!!! Советую !!!!,5
Объект 784,4.9,"Эм, смешанные чувства! В плане сервиса, номера, супер! За эти деньги стоит того! Отель на трассе. Выбирала чтоб посетить Лебяжьи озера. Хотелось бы больше звукоизоляции.",5
Объект 784,4.9,"Очень хорошая стоянка, есть банкомат!!! Рекомендую!!!",5
Объект 784,4.9,"Всё на отлично. Проезжали в момент, когда стихия отключила свет и у столовой встала кухня. Но персонал держался!!! Руководителю объекта 784 стоит повысить уровень заработной платы девушкам. Они достойно держались во время довольно сложной ситуации. Сама столовая и гостиница очень приличные. Для отеля на трассе. Спасибо!",5
Объект 784,4.9,Нет халялной пищи,4
Объект 784,4.9,"Вкусно кормят, цены адекватные)",5
Объект 784,4.9,Отличное кафе,5
Объект 784,4.9,"Одни плюсы каждый раз туда заезжаю.Плохо что лагман половинками не наливают, а так там всё просто шикарно.Есть терминал сбербанка.",5
Объект 784,4.9,"Лючшее придорожное кафе где я был чистота и порядок,а самое главное вкусно.",5
Объект 784,4.9,"Отвратительное отношение персонала и всё холодное, шашлык вообще невозможно есть",1
Объект 784,4.9,Стоянка чистая кафе дорогое а поесть так себе,4
Объект 784,4.9,5+ зачет кафе,5
Объект 784,4.9,Удобно и поесть и поспать по цене приемлемо и с собой кофе и пирожки взять можно цены адекватные.,4
Объект 784,4.9,"Вкусная еда,по доступной цене",5
Объект 784,4.9,Очень понравилось. Рекомендую.,5
Объект 784,4.9,"Стоянка поднялась , все поднимают, душевые не удобные",2
Объект 784,4.9,"В гостинице не жил, кафе не плохое.",5
Объект 784,4.9,Хорошая гостиница. Чисто.,5
Объект 784,4.9,"Классный отель, очень красивые и уютные номера, а рисунки 👍👍👍, оформление шикарное",5
Объект 784,4.9,"Вкусный шашлык и местная выпечка. Лимонный пирог - ум отъешь! Заехали сюда перекусить попути в Свияжск - очень понравилось. Чисто, аккуратно, красивое оформление кафе , вкусная еда, адекватные цены.",5
Объект 784,4.9,"Гостиница вау! В номере было всё,что необходимо для жизни. Очень удивила чистота в номере,ни одной пылинки не было! Определенно рекомендую!",5
Объект 784,4.9,"Прекрасное место! Мы с мужем в восторге! Сервис отличный! Чисто, комфортно!",5
Объект 784,4.9,"Не первый раз тут, всегда чисто и уютно,большая стоянка,есть душ, туалет, столовая, уютные номера. Жаль что стоянку сделали почасовую,это огорчает очень и снимает одну звезду, как бы мне не нравилось это место 😐",4
Объект 784,4.9,"Выражаю огромную благодарность руководящему персоналу за это место,вкус еды,атмосферу и приём гостей. Будете проезжать мимо обязательно загляните к ним в Гости. Мы отмечали в этом месте свадьбу, всё прошло на высшем уровне,отдельное спасибо АЛЕКСЕЮ 🥰",5
Объект 784,4.9,"Вкусно и не дорого,хорошая парковка",5
Объект 784,4.9,Ужасно все невкусно ещё и пересолено жалко потраченные деньги и время мы очень огорченны,1
Объект 784,4.9,"Хорошие номера, интересный дизайн.",5
Объект 784,4.9,"Хорошее кафе, всё вкусно готовят. Правда немного дороговато, но оно того стоит. Всем советую здесь побывать 👍",5
Объект 784,4.9,"Очень дорого поесть , но есть банкомат, стоянка хорошая,",4
Объект 784,4.9,"Честно? Более не заеду, фарш в котлетах не перемешан, какие-то не понятные примеси в них, суп куринный без курицы и картофеля, изжога началась как только вышел, видать от подливы.. Минус им.",2
Объект 784,4.9,Отличный отель и кафе.,5
Объект 784,4.9,Стоянка дорогая,5
Объект 784,4.9,"В кафе иногда не работает туалет,а на цокольном этаже где прачечная и душ, всего две кабинки, приходится долго ждать",5
Объект 784,4.9,"Все отлично,все понравилось.мтнусы трудно придумать.остановились бы там ещё!",5
Объект 784,4.9,"Чисто, красиво! Стильно! Приветливый персонал, замечательное место! РЕКОМЕНДУЮ",5
Объект 784,4.9,Хорошая еда но цена высоковат.,5
Объект 784,4.9,"Неплохое местечко, только проблема с туалетами🤷Но вкусно кормят,а пирожки просто объедение👍",5
Объект 784,4.9,"Чистота, еда вкусная, парковка есть. Персонал вежливый. Рекомендую 👍",5
Объект 784,4.9,"Очень хороший персонал. Чисто , уютно. Рекомендую",5
Объект 784,4.9,Постоянно нет мест на стоянке,1
Объект 784,4.9,все вкусно хорошо но порции маловаты,4
Объект 784,4.9,Очень вкусно и относительно недорого,5
Объект 784,4.9,Вкусная кухня,5
Объект 784,4.9,"Стоянка норм, в душе 250₽ болото!!! 🤬",4
Объект 784,4.9,Хорошее место где можно перекусить вкусно и не очень дорого! Постоянно заезжаю на завтрак!,5
Объект 784,4.9,Место хорошее и номера нормальные по цене только дороговато но для Казани это нормально ! Спасибо хозяевм ! Особенно понравилась библиотека есть даже труды Ленина и Маркса я почитал даа даа!,5
Объект 784,4.9,Для трех звездночного очень дорого и грязновато.,2
Объект 784,4.9,"Всё очень здорово!!! Новый, современный",5
Объект 784,4.9,"Туалет работал только в подвальном помещении, очередь даже на улице . В целом интересно оформили, современный интерьер, неплохо кормят",3
Объект 784,4.9,Не вкусно !,4
Объект 784,4.9,"Вкусно , чисто , цена адекватная , рекомендую 👍",5
Объект 784,4.9,"Приемлемые цены, все свежое и даже горячае + хорошая обстановка, советую",5
Объект 784,4.9,Раньше было хорошо а теперь не очень и дорого стало и порции с каждым днем все меньше,2
Объект 784,4.9,"Приехали ночью на склад расположенный рядом с гостиницей, в гостинице были свободны номера, ночью нас заселили без проблем, номер отличный , чистый, в номере кондиционер, душ , постельное белье чистое, комфорт в номере, буфет при гостинице есть . Очень понравился шашлык на веранде, мясо вкусное.",5
Объект 784,4.9,"Очень дорого, но сервис есть",3
Объект 784,4.9,"Мерзкое обращение продавца, а он тут один на всех. Поэтому получается только в очереди стоишь около 20м",2
Объект 784,4.9,"Объект 784 нам очень понравился, своим модным дизайном, расположением. Номер большой, чистый, уютный. Всё есть для быта и отдыха. Благодарим вас за гостеприимство!",5
Объект 784,4.9,"Очень понравилась эта гостиница! Чудесный современный дизайн, в номере приятный аромат, чистая постель, есть набор из 3х полотенец, гель для душа, шампунь, мыло, туалетная бумага))",5
Объект 784,4.9,"Супер гостиница! Кухня огонь! Персонал ,очень вежливый! Всем советую!!! Номера отличные! Управляющий, очень отзывчивый, хороший человек! Процветания им! Гостей побольше!",5
Объект 784,4.9,"Чистый отель, есть парковочные места. Есть один минус, в кафе работают сотрудники , которых клиенты не интересуют",5
Объект 784,4.9,Невкусная еда,2
Объект 784,4.9,Очень вкусно!!!! Персонал волшебный!!!!,5
Объект 784,4.9,"Хорошее место, интересный интерьер. Хорошая столовая, всё свежее и вкусное. Место пользуется популярностью у дальнобойщиков Минус. От Казани и до Казани ехать из-за отсутствия разворотов приходится лишних километров 20, посмотрите по карте, возможно уже закончится ремонт съезда на развязке.",5
Объект 784,4.9,"Хороший отель для отдыха после долгой дороги. Немного неудобный подъезд, но зато выезд через промзону (с этим сразу помогают на ресепшене), что упрощает путь в Казань, например :) Номера аккуратные, чистенькие, есть кафе недорогое на первом, где постоянно сидят дальнобои. Советуем к посещению!",5
Объект 784,4.9,Недорого,5
Объект 784,4.9,Всё классно,5
Объект 784,4.9,"Отношение доброжелательное! Интерьер-просто восторг! Кондиционер тоже очень порадовал! Цена больше соответствует условиям, чем нет! В столовой пустовато и цены немного больше, чем в других местах! Парковка при заселении бесплатная, даже для фур-это супер!",5
Объект 784,4.9,Стоянка так себе охранник вечно не довольный зимой не чистиют кафе еда плохая один плюс туалет душ стирка,1
Объект 784,4.9,"Стоянка норм, асвальтированная. Кафе дороговато.",4
Объект 784,4.9,Норм фортпост,5
Объект 784,4.9,Всё на отлично,5
Объект 784,4.9,"Отличное место, нам с Женой понравилось",5
Объект 784,4.9,Чисто,5
Объект 784,4.9,"Нормальный отель, большая летняя терасса, столовая-кофе выше среднего, дизайнеру +1 в карму; а вот в WC очереди: всего 3 один всегда закрыт, да и расположение не очень",4
Объект 784,4.9,"Хорошая чистая стоянка. Есть душ, стирка очень понравилась.",5
Объект 784,4.9,Прикольное нестандартное оформление. Доступные цены. Есть банкомат,5
